,scenario_id,var_vector,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
244,G_009,Consequentialist,unweighted,2.0,0.85,0.8166666666666668,-0.033333333333333215
245,G_312,Consequentialist,unweighted,2.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
246,G_044,Consequentialist,unweighted,2.0,0.4000000000000001,0.46666666666666673,0.06666666666666665
247,H_027,Consequentialist,unweighted,2.0,0.65,0.7833333333333333,0.1333333333333333
248,G_195,Consequentialist,unweighted,2.0,0.21666666666666665,0.31666666666666665,0.1
249,G_347,Consequentialist,unweighted,2.0,0.6666666666666666,0.5166666666666666,-0.15000000000000002
250,G_149,Consequentialist,unweighted,2.0,0.7333333333333334,0.7333333333333334,0.0
251,G_179,Consequentialist,unweighted,2.0,0.11666666666666665,0.06666666666666667,-0.04999999999999999
252,G_255,Consequentialist,unweighted,2.0,0.5499999999999999,0.5280701754385965,-0.021929824561403466
253,G_113,Consequentialist,unweighted,2.0,0.75,0.7999999999999999,0.04999999999999993
254,G_458,Consequentialist,unweighted,2.0,0.0,0.0,0.0
255,H_002,Consequentialist,unweighted,2.0,0.016666666666666666,0.03333333333333333,0.016666666666666666
256,G_199,Consequentialist,unweighted,3.0,0.9333333333333332,0.8333333333333334,-0.09999999999999987
257,G_269,Consequentialist,unweighted,3.0,0.20000000000000004,0.3833333333333333,0.18333333333333326
258,G_523,Consequentialist,unweighted,3.0,0.9,0.9,0.0
259,G_123,Consequentialist,unweighted,3.0,0.30000000000000004,0.48333333333333334,0.1833333333333333
260,G_104,Consequentialist,unweighted,3.0,0.049999999999999996,0.03333333333333333,-0.016666666666666663
261,H_088,Consequentialist,unweighted,3.0,0.2333333333333333,0.18333333333333335,-0.04999999999999996
262,G_592,Consequentialist,unweighted,3.0,0.8166666666666668,0.7833333333333333,-0.03333333333333344
263,H_087,Consequentialist,unweighted,3.0,0.65,0.7833333333333333,0.1333333333333333
264,G_114,Consequentialist,unweighted,3.0,0.4833333333333334,0.6833333333333332,0.19999999999999984
265,G_240,Consequentialist,unweighted,3.0,0.5254385964912281,0.5780701754385965,0.05263157894736836
266,G_275,Consequentialist,unweighted,3.0,0.15000000000000002,0.19999999999999998,0.04999999999999996
267,H_093,Consequentialist,unweighted,3.0,0.36666666666666664,0.3333333333333333,-0.033333333333333326
268,H_023,Consequentialist,unweighted,3.0,0.03333333333333333,0.26666666666666666,0.23333333333333334
269,G_227,Consequentialist,unweighted,3.0,0.8166666666666668,0.9,0.08333333333333326
270,H_084,Consequentialist,unweighted,3.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
271,G_109,Consequentialist,unweighted,3.0,0.3,0.43333333333333335,0.13333333333333336
272,G_438,Consequentialist,unweighted,3.0,0.0,0.03508771929824561,0.03508771929824561
273,G_401,Consequentialist,unweighted,3.0,0.75,0.6333333333333334,-0.11666666666666659
274,G_482,Consequentialist,unweighted,3.0,0.2333333333333333,0.4166666666666667,0.18333333333333338
275,G_163,Consequentialist,unweighted,3.0,0.9500000000000001,0.8166666666666668,-0.1333333333333333
276,G_009,Consequentialist,unweighted,3.0,0.85,0.9166666666666666,0.06666666666666665
277,G_312,Consequentialist,unweighted,3.0,0.9500000000000001,0.9333333333333332,-0.01666666666666683
278,G_044,Consequentialist,unweighted,3.0,0.4000000000000001,0.4666666666666666,0.06666666666666654
279,H_027,Consequentialist,unweighted,3.0,0.65,0.7833333333333333,0.1333333333333333
280,G_195,Consequentialist,unweighted,3.0,0.21666666666666665,0.3,0.08333333333333334
281,G_347,Consequentialist,unweighted,3.0,0.6666666666666666,0.5666666666666667,-0.09999999999999998
282,G_149,Consequentialist,unweighted,3.0,0.7333333333333334,0.7166666666666667,-0.01666666666666672
283,G_179,Consequentialist,unweighted,3.0,0.11666666666666665,0.016666666666666666,-0.09999999999999999
284,G_255,Consequentialist,unweighted,3.0,0.5499999999999999,0.5,-0.04999999999999993
285,G_113,Consequentialist,unweighted,3.0,0.75,0.8333333333333334,0.08333333333333337
286,G_458,Consequentialist,unweighted,3.0,0.0,0.0,0.0
287,H_002,Consequentialist,unweighted,3.0,0.016666666666666666,0.03333333333333333,0.016666666666666666
288,G_199,Consequentialist,unweighted,4.0,0.9333333333333332,0.8833333333333333,-0.04999999999999993
289,G_269,Consequentialist,unweighted,4.0,0.20000000000000004,0.2833333333333334,0.08333333333333334
290,G_523,Consequentialist,unweighted,4.0,0.9,0.9500000000000001,0.050000000000000044
291,G_123,Consequentialist,unweighted,4.0,0.30000000000000004,0.44999999999999996,0.1499999999999999
