,scenario_id,variation,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
206,G_523,Consequentialist,weighted,1.0,0.9,0.9166666666666666,0.016666666666666607
207,G_149,Consequentialist,weighted,1.0,0.7333333333333334,0.8833333333333333,0.1499999999999999
208,G_312,Consequentialist,weighted,1.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
209,G_195,Consequentialist,weighted,1.0,0.21666666666666665,0.36666666666666664,0.15
210,G_347,Consequentialist,weighted,1.0,0.6666666666666666,0.8666666666666666,0.19999999999999996
211,H_023,Consequentialist,weighted,1.0,0.03333333333333333,0.35000000000000003,0.3166666666666667
212,G_163,Consequentialist,weighted,1.0,0.9500000000000001,0.9500000000000001,0.0
213,G_123,Consequentialist,weighted,1.0,0.30000000000000004,0.7000000000000001,0.4
214,G_044,Consequentialist,weighted,1.0,0.4000000000000001,0.8166666666666668,0.4166666666666667
215,G_227,Consequentialist,weighted,1.0,0.8166666666666668,0.9,0.08333333333333326
216,G_179,Consequentialist,weighted,1.0,0.11666666666666665,0.016666666666666666,-0.09999999999999999
217,G_199,Consequentialist,weighted,1.0,0.9333333333333332,0.9666666666666667,0.03333333333333344
218,G_438,Consequentialist,weighted,1.0,0.0,0.15,0.15
219,G_113,Consequentialist,weighted,1.0,0.75,0.9,0.15000000000000002
220,H_084,Consequentialist,weighted,1.0,0.9500000000000001,0.9666666666666667,0.016666666666666607
221,G_482,Consequentialist,weighted,1.0,0.2333333333333333,0.75,0.5166666666666667
222,H_002,Consequentialist,weighted,1.0,0.016666666666666666,0.05000000000000001,0.03333333333333334
223,H_088,Consequentialist,weighted,1.0,0.2333333333333333,0.16666666666666666,-0.06666666666666665
224,H_027,Consequentialist,weighted,2.0,0.65,0.85,0.19999999999999996
225,G_109,Consequentialist,weighted,2.0,0.3,0.65,0.35000000000000003
226,G_104,Consequentialist,weighted,2.0,0.049999999999999996,0.049999999999999996,0.0
227,G_592,Consequentialist,weighted,2.0,0.8166666666666668,0.8666666666666667,0.04999999999999993
228,G_275,Consequentialist,weighted,2.0,0.15000000000000002,0.6166666666666667,0.4666666666666667
229,G_401,Consequentialist,weighted,2.0,0.75,0.7666666666666666,0.016666666666666607
230,G_240,Consequentialist,weighted,2.0,0.5254385964912281,0.6352941176470588,0.10985552115583064
231,G_114,Consequentialist,weighted,2.0,0.4833333333333334,0.7000000000000001,0.21666666666666667
232,G_009,Consequentialist,weighted,2.0,0.85,0.8666666666666666,0.016666666666666607
233,G_458,Consequentialist,weighted,2.0,0.0,0.016666666666666666,0.016666666666666666
234,G_269,Consequentialist,weighted,2.0,0.20000000000000004,0.3333333333333333,0.13333333333333328
235,H_093,Consequentialist,weighted,2.0,0.36666666666666664,0.3333333333333333,-0.033333333333333326
236,H_087,Consequentialist,weighted,2.0,0.65,0.8833333333333333,0.23333333333333328
237,G_255,Consequentialist,weighted,2.0,0.5499999999999999,0.6333333333333334,0.08333333333333348
238,G_523,Consequentialist,weighted,2.0,0.9,0.85,-0.050000000000000044
239,G_149,Consequentialist,weighted,2.0,0.7333333333333334,0.8833333333333333,0.1499999999999999
240,G_312,Consequentialist,weighted,2.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
241,G_195,Consequentialist,weighted,2.0,0.21666666666666665,0.44999999999999996,0.2333333333333333
242,G_347,Consequentialist,weighted,2.0,0.6666666666666666,0.9166666666666666,0.25
243,H_023,Consequentialist,weighted,2.0,0.03333333333333333,0.5,0.4666666666666667
244,G_163,Consequentialist,weighted,2.0,0.9500000000000001,0.8833333333333333,-0.06666666666666676
245,G_123,Consequentialist,weighted,2.0,0.30000000000000004,0.75,0.44999999999999996
246,G_044,Consequentialist,weighted,2.0,0.4000000000000001,0.7833333333333333,0.38333333333333325
247,G_227,Consequentialist,weighted,2.0,0.8166666666666668,0.9,0.08333333333333326
248,G_179,Consequentialist,weighted,2.0,0.11666666666666665,0.016666666666666666,-0.09999999999999999
249,G_199,Consequentialist,weighted,2.0,0.9333333333333332,0.9,-0.033333333333333215
250,G_438,Consequentialist,weighted,2.0,0.0,0.3,0.3
251,G_113,Consequentialist,weighted,2.0,0.75,0.8166666666666668,0.06666666666666676
252,H_084,Consequentialist,weighted,2.0,0.9500000000000001,0.9833333333333334,0.033333333333333326
253,G_482,Consequentialist,weighted,2.0,0.2333333333333333,0.7666666666666666,0.5333333333333333
254,H_002,Consequentialist,weighted,2.0,0.016666666666666666,0.03333333333333333,0.016666666666666666
255,H_088,Consequentialist,weighted,2.0,0.2333333333333333,0.18333333333333335,-0.04999999999999996
256,H_027,Consequentialist,weighted,3.0,0.65,0.9166666666666666,0.2666666666666666
257,G_109,Consequentialist,weighted,3.0,0.3,0.7666666666666666,0.4666666666666666
258,G_104,Consequentialist,weighted,3.0,0.049999999999999996,0.06666666666666667,0.01666666666666667
259,G_592,Consequentialist,weighted,3.0,0.8166666666666668,0.9500000000000001,0.1333333333333333
260,G_275,Consequentialist,weighted,3.0,0.15000000000000002,0.6,0.44999999999999996
261,G_401,Consequentialist,weighted,3.0,0.75,0.7166666666666667,-0.033333333333333326
262,G_240,Consequentialist,weighted,3.0,0.5254385964912281,0.7649122807017544,0.23947368421052628
263,G_114,Consequentialist,weighted,3.0,0.4833333333333334,0.6833333333333335,0.20000000000000007
264,G_009,Consequentialist,weighted,3.0,0.85,0.85,0.0
